SUBSTATION_NUMBER,TRANSFORMER_TYPE,TOTAL_CUSTOMERS,Transformer_RATING,Percentage_IC,LV_FEEDER_COUNT,GRID_REFERENCE
542050,Pole Mtd Dist. Substation,0,16,0,0,ST048200949400
542053,Grd Mtd Dist. Substation,157,500,0.47137653,4,SS985500975500
542054,Grd Mtd Dist. Substation,290,315,0.135619206,4,SS978000978600
542055,Grd Mtd Dist. Substation,132,315,0.06759926,4,SS981500975800
542056,Grd Mtd Dist. Substation,1,500,0.498376068,0,SS982000977300
551485,Grd Mtd Dist. Substation,4,800,1,1,SO144300084300
551486,Grd Mtd Dist. Substation,16,800,1,5,SO141400092500
551487,Grd Mtd Dist. Substation,0,300,0.280038096,1,SO138400100500
551489,Grd Mtd Dist. Substation,140,315,0.018679122,3,SO136000102100
551490,Grd Mtd Dist. Substation,73,800,0.40358429,2,SO134500099700
551992,Grd Mtd Dist. Substation,365,500,0.327465226,7,SN997800030200
551993,Grd Mtd Dist. Substation,233,300,0.42431936,5,SN993500034900
551994,Grd Mtd Dist. Substation,81,315,0.383036825,2,SN991400033900
551995,Grd Mtd Dist. Substation,2,200,0.986808922,1,SN987900036900
551996,Grd Mtd Dist. Substation,3,315,0.995891571,3,SN986000037800
551997,Grd Mtd Dist. Substation,7,315,0.835286042,2,SN984100040600
551998,Grd Mtd Dist. Substation,225,500,0.133796091,3,SN980500045700
551999,Grd Mtd Dist. Substation,214,200,0,5,SN979500044900
552001,Grd Mtd Dist. Substation,355,500,0.078587438,4,SN975200048800
552042,Pole Mtd Dist. Substation,3,25,0.002349782,1,SO018900034100
552043,Pole Mtd Dist. Substation,9,50,0.093947016,1,SO018000036000
552044,Pole Mtd Dist. Substation,24,100,0.226786467,1,SO014197036306
552045,Pole Mtd Dist. Substation,2,16,0,1,SO012400040000
552049,Grd Mtd Dist. Substation,238,315,0.05529072,4,SO014000034000
552050,Grd Mtd Dist. Substation,286,315,0.200279962,4,SO009900031300
552051,Pole Mtd Dist. Substation,21,100,0,1,SO007000034800
552052,Grd Mtd Dist. Substation,1,300,1,1,SO005200032700
552053,Pole Mtd Dist. Substation,4,100,0.968302185,1,SO003200039500
552054,Grd Mtd Dist. Substation,1,500,1,1,SO002800031400
552056,Grd Mtd Dist. Substation,260,300,0.072087414,3,SO001700024700
552060,Grd Mtd Dist. Substation,145,300,0.083646525,4,SN997800023700
552061,Grd Mtd Dist. Substation,203,300,0.002711534,4,SO012500007900
552062,Grd Mtd Dist. Substation,196,500,0.021492805,3,SO012000012300
552063,Grd Mtd Dist. Substation,116,300,0.045837814,4,SO010300013100
552064,Grd Mtd Dist. Substation,131,315,0.250511442,3,SO007700015100
552065,Grd Mtd Dist. Substation,34,315,0.640096656,3,SO005200017200
552066,Grd Mtd Dist. Substation,202,500,0.348022478,4,SO005000022500
552069,Grd Mtd Dist. Substation,219,500,0,4,SO003100022400
552070,Grd Mtd Dist. Substation,264,500,0.061855554,4,SO000900022700
552071,Grd Mtd Dist. Substation,2,315,0.921008152,1,SN999600026400
552072,Grd Mtd Dist. Substation,243,300,0.150669327,4,SN999400021800
552080,Grd Mtd Dist. Substation,176,300,0.148501687,4,SN993700037100
552085,Grd Mtd Dist. Substation,102,200,0.056871035,2,SO166000116600
552086,Grd Mtd Dist. Substation,127,300,0.348394945,3,SO166400115600
552087,Grd Mtd Dist. Substation,73,200,0,3,SO168800114400
552088,Grd Mtd Dist. Substation,139,500,0.137674709,5,SO169600116600
552089,Grd Mtd Dist. Substation,101,315,0,3,SO172200115800
552090,Grd Mtd Dist. Substation,119,300,0.097957513,3,SO173300117000
552091,Grd Mtd Dist. Substation,214,300,0.004787471,6,SO174700114500
552130,Pole Mtd Dist. Substation,45,100,0,1,SO014900000500
552133,Grd Mtd Dist. Substation,179,300,0.217502469,3,ST006500998800
552134,Grd Mtd Dist. Substation,82,300,0.018332904,2,ST005500999600
552135,Grd Mtd Dist. Substation,157,0,0.312038758,0,ST004400996900
552136,Grd Mtd Dist. Substation,84,200,0.038082251,2,ST004400992800
552137,Grd Mtd Dist. Substation,263,500,0.292768358,4,ST002900995300
552138,Grd Mtd Dist. Substation,234,500,0.119129746,4,ST000500995000
552139,Grd Mtd Dist. Substation,152,300,0.135272147,4,SS995700995900
552144,Grd Mtd Dist. Substation,296,500,0.088560132,5,SO014800007800
552145,Grd Mtd Dist. Substation,179,300,0.167817061,2,SO014800005700
552147,Grd Mtd Dist. Substation,167,500,0.196575055,3,SO012500005300
552148,Grd Mtd Dist. Substation,181,300,0.088630862,4,SO009800002200
552149,Pole Mtd Dist. Substation,44,100,0,1,SO009100004500
